datetime,SYM_H
2015-05-10 01:40:00,7
2015-05-10 01:45:00,6
2015-05-10 01:50:00,6
2015-05-10 01:55:00,5
2015-05-10 02:00:00,4
2015-05-10 02:05:00,4
2015-05-10 02:10:00,3
2015-05-10 02:15:00,3
2015-05-10 02:20:00,3
2015-05-10 02:25:00,4
2015-05-10 02:30:00,6
2015-05-10 02:35:00,6
2015-05-10 02:40:00,6
2015-05-10 02:45:00,7
2015-05-10 02:50:00,8
2015-05-10 02:55:00,8
2015-05-10 03:00:00,8
2015-05-10 03:05:00,8
2015-05-10 03:10:00,8
2015-05-10 03:15:00,8
2015-05-10 03:20:00,8
2015-05-10 03:25:00,8
2015-05-10 03:30:00,7
2015-05-10 03:35:00,8
2015-05-10 03:40:00,8
2015-05-10 03:45:00,8
2015-05-10 03:50:00,8
2015-05-10 03:55:00,7
2015-05-10 04:00:00,7
2015-05-10 04:05:00,5
2015-05-10 04:10:00,4
2015-05-10 04:15:00,4
2015-05-10 04:20:00,5
2015-05-10 04:25:00,4
2015-05-10 04:30:00,3
2015-05-10 04:35:00,3
2015-05-10 04:40:00,4
2015-05-10 04:45:00,3
2015-05-10 04:50:00,3
2015-05-10 04:55:00,3
2015-05-10 05:00:00,2
2015-05-10 05:05:00,1
2015-05-10 05:10:00,0
2015-05-10 05:15:00,0
2015-05-10 05:20:00,0
2015-05-10 05:25:00,1
2015-05-10 05:30:00,1
2015-05-10 05:35:00,1
2015-05-10 05:40:00,1
2015-05-10 05:45:00,2
2015-05-10 05:50:00,3
2015-05-10 05:55:00,3
2015-05-10 06:00:00,3
2015-05-10 06:05:00,3
2015-05-10 06:10:00,1
2015-05-10 06:15:00,1
2015-05-10 06:20:00,1
2015-05-10 06:25:00,2
2015-05-10 06:30:00,2
2015-05-10 06:35:00,4
2015-05-10 06:40:00,5
2015-05-10 06:45:00,3
2015-05-10 06:50:00,1
2015-05-10 06:55:00,-1
2015-05-10 07:00:00,0
2015-05-10 07:05:00,-5
